ingredient_id,name_ko,name_en,store_type,used_in_foods,is_distractor_friendly,distractor_weight,is_basic_pantry,cut_variations,notes
ing_g_008,소면,Somen (White Wheat Noodle),grain,t1_008,false,3,false,,잔치국수 hero ingredient (N-1 신규 2026-05-30); raw bundled or fresh-cooked thin white wheat noodle; 라면사리(ing_g_001) 및 당면(ing_g_007)과 곡물 면 디스트랙터 트리오 클러스터; art-director anchor 신규 작성 대상; cut 없음 (whole bundle, 파 ing_p_001 또는 애호박 ing_p_012가 cut hero)
ing_x_001,계란,Egg,sundry,t1_002;t1_004;t1_005;t1_006;t1_008;t2_013,true,3,false,,한식 base 다목적; 라면/김밥/볶음밥/해물파전/잔치국수(지단)/순두부찌개(풀기); N-1 sync 2026-05-30; cut 없음 (whole egg, 깨거나 풀기 행위 별도 메커닉 후보)
ing_x_003,간장,Soy Sauce,pantry,t1_006;t1_008;t2_010;t2_012;t2_014,false,0,true,,**basic_pantry LOCK 2026-05-30 (C-2)** — kitchen rack 자동 제공, Stage 1 진열대 미표시. 한식 base; 옹기 시각 디스트랙터 (고추장과 페어); 잔치국수 육수 양념 + 불고기 양념. accuracy_ingredients 분모 N에서 제외; cut 메커닉 X (양념재우기 시 marinade bowl에 자동 부어짐, motion 시각 cue만)
ing_x_004,고추장,Gochujang,pantry,t1_003;t2_008,false,0,true,,**basic_pantry LOCK 2026-05-30 (C-2)** — kitchen rack 자동 제공, Stage 1 진열대 미표시. 떡볶이/비빔밥; 간장과 옹기 디스트랙터 페어. accuracy_ingredients 분모 N에서 제외; cut 메커닉 X
ing_x_005,설탕,Sugar,pantry,t1_007;t2_012;t2_014,false,0,true,,**basic_pantry LOCK 2026-05-30 (C-2)** — kitchen rack 자동 제공, Stage 1 진열대 미표시. 콘도그 코팅/갈비 양념/불고기 양념. accuracy_ingredients 분모 N에서 제외; cut 메커닉 X (양념재우기 시 marinade에 자동 흘러 들어감)
ing_x_006,참기름,Sesame Oil,pantry,t2_010;t2_012;t2_014,false,0,true,,**basic_pantry LOCK 2026-05-30 (C-2)** — kitchen rack 자동 제공, Stage 1 진열대 미표시. 잡채/갈비/불고기 마무리. accuracy_ingredients 분모 N에서 제외; cut 메커닉 X
ing_x_007,소금,Salt,pantry,implicit_all,false,0,true,,**basic_pantry LOCK 2026-05-30 (C-2 신규 row)** — kitchen rack 자동 제공 기본 base seasoning. used_in_foods=implicit_all (모든 음식에 implicit base, foods CSV에 명시 X). accuracy_ingredients 분모 N에서 제외. ing_x_007 reassigned (이전 깨 row는 ing_x_019로 이동); cut 메커닉 X
ing_x_019,깨,Sesame Seed,sundry,t2_012,true,1,false,,갈비 마무리 garnish (ID re-mapped from ing_x_007 → ing_x_019 on 2026-05-30 due to 소금 basic_pantry 신규 row가 ing_x_007 차지); cut 없음 (whole seed sprinkle)
ing_x_008,단무지,Pickled Radish,sundry,t1_004,true,3,false,CUT-04;CUT-02,김밥 핵심; 어묵과 시각 디스트랙터 페어; 통썰기 CUT-04 hero (M2-D2 lock 70 BPM·3 taps, T1 가장 느린 BPM 입문 부드러움) + 채썰기 CUT-02 strip 대안
ing_x_010,김치,Kimchi,sundry,t1_005;t2_013,false,3,false,CUT-06,한식 시그니처; 옹기 핵심; 순두부찌개 매운 베이스; 김치찌개 t2_009 used_in_foods 제거 (N-2 2026-05-30) — 김치볶음밥+순두부찌개 유지; 깍둑썰기 CUT-06 hero (M2-D2 lock 김치볶음밥 90 BPM·4 taps)
ing_x_014,모짜렐라,Mozzarella,sundry,t1_007,false,2,false,,한국식 콘도그 hybrid 시그니처; cut 없음 (whole stick or shredded, 콘도그 stage 2A는 batter dip substitute)
ing_x_015,케첩,Ketchup,sundry,t1_007,true,1,false,,콘도그 토핑 (선택); 디스트랙터로 자주 등장; cut 없음 (양념)
ing_x_016,순두부,Soft Tofu,sundry,t2_013,false,3,false,,순두부찌개 핵심; 두부(deprecated ing_x_009)와 시각 디스트랙터 페어 — but 두부 제거됨(N-2 김치찌개 supersede)으로 단독 SKU로 진화; 잡화 분류 (실 매장은 두부집/잡화 공용); cut 없음 (whole soft tofu, 끓일 때 자연 분쇄)
ing_x_017,고춧가루,Red Pepper Powder,sundry,t2_013,true,2,false,,순두부찌개 매운맛; 고추장과 색감 페어; 가루 클러스터 (부침가루 cross-store 페어); cut 없음 (가루)
ing_x_018,다진마늘,Minced Garlic,sundry,t1_008;t2_014,true,2,false,,잔치국수 육수 양념 + 불고기 양념 (N-1·N-2 신규 2026-05-30); 마늘(ing_p_005, 통마늘 produce)과 form factor 변별 디스트랙터 페어 — minced=잡화 분류 (병조림/팩 SKU); ADR-005 다지기 140 BPM cut style anchor 매핑 (CUT-01 mince) — but 다진마늘은 이미 minced state라 Stage 2A cut 메커닉 X (whole 마늘 ing_p_005가 cut hero); 잡화 SKU로 시각 디스트랙터 역할만
